Locus	SRR3992506	SRR3992507	SRR3992508	SRR3992512	SRR3992513	SRR3992514
AT1G50920.1	3429	4042	3615	3536	4229	4073
AT1G36960.1	0	0	0	0	0	0
AT1G44020.1	0	0	0	0	0	0
AT1G15970.1	334	391	389	440	525	422
AT1G73440.1	196	255	260	302	343	288
AT1G75120.1	103	103	103	76	93	90
AT1G17600.1	379	245	234	335	457	274
AT1G50860.1	0	0	0	0	0	0
AT1G51380.1	40	63	42	139	162	143
AT1G77370.1	803	680	976	835	1072	754
AT1G44090.1	0	0	0	0	0	0
AT1G10950.1	3184	3327	3691	3875	4764	4192
AT1G31870.1	467	522	521	525	651	544
AT1G51360.1	261	294	322	276	300	290
AT1G14940.1	0	0	0	0	0	0
AT1G50950.1	116	124	108	200	243	235
AT1G75110.1	72	75	74	69	91	74
AT1G17400.1	8	4	2	2	6	7
AT1G50930.1	0	0	0	1	2	0
AT1G17390.1	0	0	0	0	0	0
AT1G09400.1	5	3	9	1	4	0
AT1G09415.1	485	546	536	619	750	476
AT1G74730.1	7401	8763	9509	7385	7623	8890
AT1G75100.1	2888	3232	3178	2804	3200	2448
AT1G75240.1	517	567	650	547	752	665
AT1G14920.1	1093	1222	1253	1597	1789	2037
AT1G65510.1	24	14	48	21	26	16
AT1G75250.1	100	108	65	98	153	122
AT1G54410.1	18765	25179	25203	36762	35671	36227
AT1G09410.1	18	17	18	32	26	34
AT1G54420.1	0	0	0	1	9	5
AT1G54430.1	0	0	0	3.2239	0	1.11653
AT1G75090.1	76	70	73	77	104	113
AT1G36950.1	1	2	1	1	2	2
AT1G50940.1	355	402	477	546	574	507
AT1G14930.1	2	5	4	13	4	17
AT1G65970.1	102.192	18.0114	290.933	25.1393	19.027	11.0076
AT1G17410.1	165	160	158	186	204	202
AT1G31880.1	41	68	65	54	86	51
AT1G77320.1	129	163	139	124	113	130
AT1G77500.1	427	337	441	353	383	314
AT1G51320.1	0	0	0	0	0	0
AT1G43990.1	0	0	0	0	0	0
AT1G74770.1	87	83	72	172	135	33
AT1G75080.1	670	629	785	720	816	705
AT1G14890.1	807	746	931	826	991	818
AT1G51330.1	1	0	0	0	2	2
AT1G80350.1	689	713	766	780	910	886
AT1G14900.1	549	715	632	472	614	532
AT1G15960.1	262.833	262.223	278.21	365.588	452.317	306.625
AT1G14980.1	3572	3734	4167	3855	4450	3164
AT1G14910.1	725	809	757	882	1150	987
AT1G44100.1	971	987	1100	1115	1310	912
AT1G42450.1	0	0	0	0	0	0
AT1G15000.1	374	529	435	476	489	602
AT1G31850.1	872	1010	1010	1436	1922	1552
AT1G79210.1	1166	1162	1324	1496	1674	1504
AT1G67160.1	2	0	1	1	0	0
AT1G42350.1	9	6	7	14.0838	17.1075	13.0839
AT1G20960.1	4130	3597	2731	3978	5478	5268
AT1G74780.1	433	400	456	413	498	392
AT1G65620.1	167	165	240	157	187	159
AT1G12680.1	477	464	574	582	684	575
AT1G74790.1	550	612	915	881	993	909
AT1G77510.1	1105	861	1162	1291	1262	1490
AT1G43980.1	12	19	18	25	25	14
AT1G77300.1	1268	1246	905	1263	1633	1345
AT1G80340.1	25	21	29	1	0	2
AT1G65985.1	99	57	88	50	57	52
AT1G43995.1	0	0	0	0	0	0
AT1G51340.2	441	517	516	689	703	401
AT1G31860.1	749	812	839	703	778	801
AT1G73450.1	391.302	367.266	362.286	455.451	573.85	473.752
AT1G21070.1	242	284	289	313	335	346
AT1G51350.1	905	799	860	861	1004	900
AT1G14950.1	0	0	0	0	0	0
AT1G09440.1	294	346	332	281	354	346
AT1G09390.1	391	496	510	271	230	318
AT1G22840.1	2634	2999	3389	2862	3213	2855
AT1G09430.1	1675	1590	2040	2053	2509	2015
AT1G44010.1	0	0	0	0	0	0
AT1G80360.1	1064	1187	1295	1225	1580	1648
AT1G73445.1	7	16	9	7	6	12
AT1G74720.1	1612	1791	1657	2029	2338	2098
AT1G65980.1	3908	3981	4677	4102	4781	3693
AT1G44000.1	5341	5827	6209	4160	4503	4529
AT1G65940.1	0	0	0	0	0	0
AT1G75260.1	26	30	24	31	43	32
AT1G31900.1	3	8	9	0	0	0
AT1G14970.1	151	170	145	104	163	144
AT1G42320.1	0	0	0	0	0	0
AT1G14960.1	0	0	0	0	0	0
AT1G12670.1	0	1	4	0	0	1
AT1G73460.1	876.698	891.734	826.714	773.549	1082.15	892.248
AT1G09450.1	57	82	61	94	87	110
AT1G51355.1	26	41	31	31	44	38
AT1G36750.1	0	0	0	0	0	0
AT1G12660.1	1	0	0	0	0	0
AT1G75130.1	430	387	432	469	540	421
AT1G21120.1	61	17	42	103.167	79.4176	107.602
AT1G09740.1	320	274	407	274	284	273
AT1G21110.1	12	10	25	123.015	120.582	81.3981
AT1G50900.1	4792.79	6248.13	6286.49	5460.64	5539	5830.1
AT1G37000.1	0	0	0	0	0	0
AT1G77330.1	13	21	16	20	18	18
AT1G80400.1	439	390	442	475	542	526
AT1G74740.1	220	238	198	217	275	212
AT1G17370.1	3456	3757	3673	4026	4757	3763
AT1G09750.1	2501	3266	2587	1706	1864	4144
AT1G75220.1	1814	1756	2454	1494	2120	1720
AT1G65560.1	330	330	397	181	234	216
AT1G65570.1	0	1	0	0	0	0
AT1G49660.1	573	679	894	588	705	566
AT1G36680.1	10	10	9	0	0	1
AT1G21100.1	41	28	34	72	74	60
AT1G29020.1	0	0	0	0	1	0
AT1G42310.1	0	0	0	0	0	0
AT1G77310.1	108	150	133	116	95	101
AT1G44075.1	0	0	0	0	0	0
AT1G12610.1	0	2	5	7	7	3
AT1G70820.1	536	736	617	1016	969	2035
AT1G70790.2	132	192	193	181	200	248
AT1G12640.1	620	681	663	529	756	744
AT1G12620.1	153	186	182	124	161	162
AT1G12630.1	2	2	2	8	8	16
AT1G65610.1	87	13	55	7	19	3
AT1G75170.1	436	376	487	482	551	382
AT1G49680.1	0	0	0	0	0	0
AT1G50880.1	0	0	0	0	0	0
AT1G36675.1	2	10	14	4	0	1
AT1G23180.1	1293	1420	1451	1405	1722	1532
AT1G09770.1	2137	2285	2053	2469	2846	2561
AT1G75200.1	677	741	737	795	969	930
AT1G80390.1	4	3	10	12	10	14
AT1G74750.1	276	236	242	303	418	284
AT1G75210.1	1700	1847	1849	1687	1889	1834
AT1G44080.1	0	0	0	0	0	0
AT1G65585.1	0	0	0	1	0	0
AT1G21140.1	37	29	27	21	23	58
AT1G09780.1	2928	3590	4304	3193	3468	3641
AT1G09790.1	0	2	0	0	0	0
AT1G09760.1	946	1100	1093	1056	1206	1088
AT1G75190.1	70	88	63	51	49	81
