Locus	SRR3992506	SRR3992507	SRR3992508	SRR3992512	SRR3992513	SRR3992514
AT1G49730.1	756	842	734	852	948	923
AT1G79220.1	69	86	114	103	106	114
AT1G50870.1	0	0	0	0	0	0
AT1G65590.1	1184	1227	1287	1239	1494	1522
AT1G75180.1	1031	1151	1223	1023	1188	1325
AT1G09800.1	135	129	132	142	185	187
AT1G50890.1	271	232	256	237	285	242
AT1G70810.1	466	464	694	419	476	399
AT1G21130.1	653	583	656	345.819	354	480
AT1G65580.1	912	740	729	957	1315	1258
AT1G70800.1	39	31	57	121	119	133
AT1G09795.1	1527	1764	2136	1133	1190	1285
AT1G80380.2	9804	10402	11889	8629	9242	9339
AT1G55890.1	538	735	655	488	539	530
AT1G65520.1	132	159	201	110	168	117
AT1G49650.1	243	240	283	106	94	150
AT1G36690.1	0	0	0	0	0	0
AT1G75230.2	261	252	290	307	357	290
AT1G44050.1	32	10	40	4	1	0
AT1G09370.1	3	1	6	3	3	6
AT1G50910.1	117.214	156.871	123.514	131.36	173.997	150.898
AT1G75140.1	189	225	219	254	260	323
AT1G80370.1	70	85	88	109	144	163
AT1G36740.1	0	0	0	0	0	0
AT1G36730.1	2373.5	2399	2680.5	2343.5	2978.5	2665
AT1G75150.1	126	181	135	149	155	183
AT1G12580.1	1043	1048	1055	1079	1271	1080
AT1G36720.1	0	0	0	0	0	0
AT1G36975.1	0	0	0	0	0	0
AT1G73850.1	86	122	93	124	164	107
AT1G17380.1	175	125	335	339	517	149
AT1G31885.1	2	5	1	14	11	12
AT1G77360.1	32	24	30	49	48	40
AT1G44030.1	0	0	0	0	0	0
AT1G65540.1	1218	1257	1368	1182	1336	1202
AT1G09380.1	1	0	3	0	0	0
AT1G44045.1	0	0	0	0	0	0
AT1G44040.1	0	0	0	0	0	0
AT1G77470.1	415	450	406	522	582	584
AT1G36745.1	0	0	0	0	0	0
AT1G23190.1	3217	3153	4450	3999	4732	3821
AT1G12570.1	339	490	296	1209	1165	1870
AT1G36970.1	0	0	0	0	0	0
AT1G15980.1	7611	8881	9691	7317	7868	8384
AT1G77490.1	3192	3890	4221	3306	3469	4054
AT1G10960.1	43795	51123	58549	33672	35703	23942
AT1G67130.1	0	0	0	0	0	0
AT1G55900.1	453	542	514	558	609	608
AT1G15990.1	4	6	2	8	11	0
AT1G75160.1	0	0	0	0	1	1
AT1G44060.1	0	0	0	0	0	0
AT1G49640.1	1	0	0	5	4	10
AT1G36700.1	0	0	0	0	0	0
AT1G36990.1	685.394	688.376	661	668	905.397	757.656
AT1G44070.1	0	0	0	0	0	0
AT1G12600.1	14	13	7	9	12	16
AT1G42300.1	0	0	0	0	0	0
AT1G09730.1	709	657	726	886	1154	926
AT1G77340.1	2	0	0	0	0	0
AT1G12650.1	445	617	531	504	523	500
AT1G70840.1	0	0	1	0	3	0
AT1G49700.1	1602	348	433	240	208	451
AT1G36980.1	1443	1488	1649	1678	1879	1705
AT1G65550.1	0	0	1	0	0	1
AT1G21090.1	120	166	151	292	287	285
AT1G28520.1	779	805	890	1042	1287	1095
AT1G42290.1	0	0	0	0	0	0
AT1G79600.1	7976	8754	8515	7376	8180	7831
AT1G36710.1	0	0	0	0	0	0
AT1G65950.1	303	357	303	147	164	161
AT1G70850.1	4	0	0	20	90	18
AT1G09720.1	0	0	0	1	0	0
AT1G44085.1	0	0	0	0	0	0
AT1G77350.1	539	536	638	708	808	706
AT1G80420.1	320	305	270	398	443	428
AT1G36880.1	0	0	0	0	0	0
AT1G65930.1	7661	8153	10771	7061	8414	7309
AT1G74930.1	25	2	19	54	56	11
AT1G43845.1	0	0	0	0	0	0
AT1G51050.1	0	1	0	0	0	0
AT1G77410.1	103	119	74	99	125	107
AT1G74840.1	1013	1061	1048	1300	1698	1258
AT1G51140.1	1130	1245	1427	1269	1442	1006
AT1G43850.1	1557	1689	1657.7	1974.61	2332	1962.28
AT1G09550.1	0	0	0	0	0	0
AT1G51150.1	0	0	0	0	0	0
AT1G09640.1	5404	5950	6450	5619	6666	6159
AT1G43840.1	0	0	0	0	0	0
AT1G36840.1	0	0	0	0	0	0
AT1G10920.1	415	329	358	628	684	555
AT1G36850.1	0	0	0	0	0	0
AT1G09540.1	2	6	3	8	5	4
AT1G71015.1	18	11	27	6	12	8
AT1G09630.1	371	387	426	524	558	505
AT1G42393.1	0	0	0	0	0	0
AT1G77400.1	118	130	135	158	170	172
AT1G74860.1	242	241	278	242	322	254
AT1G73840.1	669	819	957	754	877	864
AT1G36925.1	0	0	0	0	0	0
AT1G74920.1	3440	3860	4403	4357	5460	4073
AT1G09580.1	262	349	394	446	497	533
AT1G79190.1	385	377	359	550	712	626
AT1G09575.1	66	74	77	59	78	60
AT1G77405.1	12	14	8	28	17	28
AT1G36927.1	0	0	0	0	0	0
AT1G09570.1	1399	1270	1313	1300	1641	1596
AT1G09560.1	1790	1567	2243	1443	1621	1064
AT1G74850.1	2148	2303	2027	1973	2132	2575
AT1G73580.1	2	1	1	0	2	0
AT1G43766.1	0	0	0	0	0	0
AT1G09590.1	5357.39	7271.41	6755.56	5606.56	6256	6639.41
AT1G36830.1	0	0	0	0	0	0
AT1G74940.1	133	204	259	248	307	232
AT1G51010.1	0	0	0	0	0	0
AT1G65730.1	22	38	35	53	93	86
AT1G09645.1	364	401	467	448	552	414
AT1G36933.1	0	0	0	0	0	0
AT1G51172.1	1	0	0	0	0	0
AT1G51175.1	2	0	1	3	0	0
AT1G70985.1	190	262	234	116	138	98
AT1G42440.1	1387	1469	1487	1428	1872	1746
AT1G51190.1	0	0	0	0	0	0
AT1G70970.1	0	0	0	0	0	0
AT1G80470.1	0	0	0	1	1	0
AT1G51030.1	1	0	1	1	0	1
AT1G65710.1	72	90	100	69.9021	87.9703	59
AT1G09650.1	4	5	9	19	29	25
AT1G65720.1	1951	1681	2052	2633	3380	2686
AT1G70980.1	624	651	704	673	861	689
AT1G43860.1	586	713	694	611	701	703
AT1G43886.1	98	86	118	153	166	163
AT1G36800.1	0	0	0	0	0	0
AT1G71010.1	1744	1586	1504	2008	2744	2182
AT1G51040.1	0	0	0	0	0	0
AT1G51160.1	724	823	899	1036	1086	1018
AT1G43870.1	0	0	0	0	0	0
AT1G20990.1	19	21	15	32	34	18
AT1G36810.1	0	0	0	0	0	0
AT1G65750.1	0	0	0	0	0	0
AT1G43880.1	0	0	0	0	0	0
AT1G71000.1	3	0	6	0	1	0
AT1G73830.1	70	73	98	27	33	59
AT1G51170.1	188	227	245	433	533	350
AT1G43883.1	0	0	0	0	0	0
AT1G70990.1	5	3	4	2	1	1
AT1G65740.1	0	0	0	0	0	0
AT1G10870.1	647	636	612	665	776	658
AT1G21000.1	808	640	791	605	631	448
AT1G79580.1	2	3	0	0	1	0
AT1G43835.1	0	0	0	0	0	0
AT1G21040.1	0.25	0.25	0	0	0	0
AT1G43785.1	0	0	0	0	0	0
AT1G51130.1	46	53	50	62	64	82
AT1G31800.1	4608	4724	5286	4373	4818	4362
AT1G10900.1	2121	2300	2382	1586	1788	1505
AT1G74900.1	84.1209	83.1407	73.2308	111.5	116.329	108.36
AT1G21050.1	391	355	417	217	332	182
AT1G74890.1	415	417	446	585	518	737
AT1G74910.1	2465.88	2804.86	3036.77	3425.5	3777.67	3566.64
AT1G10910.1	994	1048	1033	954	1080	1112
AT1G42420.1	0	0	0	0	0	0
AT1G31770.1	314	324	366	396	587	398
AT1G77380.1	13	27	24	17	20	16
AT1G51120.1	0	0	0	0	0	0
AT1G51080.1	368	480	434	262	243	272
AT1G51085.1	0	0	1	0	0	1
AT1G65845.1	410	317	621	406	486	280
AT1G21010.1	225	191	275	205	278	199
AT1G43800.1	271	74	643	386	1166	630
AT1G73610.1	1	0	0	0	0	0
AT1G51090.1	48	37	101	34	34	29
AT1G42410.1	1	1	0	2	0	1
AT1G43790.1	399	445	384	481	540	462
AT1G54500.1	3774	4220	4827	3099	3216	3958
AT1G31780.1	859	935	1103	1127	1475	1281
AT1G21020.1	0	0	0	0	0	0
AT1G65840.1	1558	1804	2172	1568	1814	1336
AT1G51110.1	2990	3324	3393	3523	3884	3545
AT1G51100.1	906	1150	1222	1027	1046	1143
AT1G43810.1	0	0	0	0	0	0
AT1G31790.1	65	57	35	94	129	98
AT1G36890.1	0	0	0	0	0	0
AT1G79170.1	33	32	50	1	0	2
AT1G65810.1	6	3	4	10	29	19
AT1G36915.1	0	0	0	0	0	0
AT1G43775.1	0	0	0	0	0	0
AT1G74880.1	2938	3575	4007	4394	4196	3971
AT1G73590.1	459	625	490	618	877	538
AT1G65760.1	2	2	1	2	2	1
AT1G31814.1	140	128	128	173	165	128
AT1G42396.1	0	0	0	0	0	0
AT1G09620.1	3951	3912	3858	3990	4836	4694
AT1G36920.1	0	0	0	0	1	0
AT1G74870.1	22	33	48	19	33	34
AT1G43830.1	1	0	0	0	0	0
AT1G31812.1	6523	7939	8539	7664	8704	7650
AT1G10880.1	0	0	1	0	0	0
AT1G09600.1	21	30	17	39	58	51
AT1G09610.1	18	43	29	27	23	17
AT1G65770.1	0	0	0	0	0	0
AT1G36910.1	0	0	0	0	0	0
AT1G79180.1	4	3	11	6	10	2
AT1G43777.1	0	0	0	0	0	0
AT1G51060.1	3505.66	4071	4566	4700.82	4874	4531
AT1G77390.1	27	25	30	41	38	28
AT1G43780.1	0	0	1	0	0	0
AT1G31810.1	816	680	554	839	899	1101
AT1G65800.1	2104.51	1669.36	1661.02	1247.27	1450.88	1104.53
AT1G31760.1	117	129	114	158	177	170
AT1G77420.1	284	291	376	249	548	234
AT1G42430.1	812	871	821	1140	1213	1112
AT1G65790.1	171.493	58.6376	91.9843	1398.73	1524.12	1132.47
AT1G54490.1	1396	1335	1456	1633	1970	1638
AT1G22540.1	220	193	313	396	465	508
AT1G73600.2	24988.7	29052.2	30796.3	27480.6	24754.2	22315.3
AT1G51055.1	5	4	10	20	17	14
AT1G10890.1	846	942	820	1029	1137	1045
AT1G42400.1	0	0	0	0	0	0
AT1G65780.1	0	0	0	1	0	0
AT1G74950.1	594	600	952	715	1055	645
AT1G70960.1	0	0	0	0	0	0
AT1G73530.1	1207	1469	1449	1145	1155	1208
AT1G10930.1	390	406	329	455	516	617
AT1G70900.1	648	721	844	736	735	656
AT1G75020.1	299	261	344	301	337	266
AT1G65670.1	1	0	3	0	0	0
AT1G70895.1	78	86	73	83	108	105
AT1G31820.1	239	200	323	392	459	426
AT1G42367.1	0	0	0	0	0	0
AT1G73510.1	0	1	4	0	0	0
AT1G36756.1	0	0	0	0	0	0
AT1G20970.1	1760	1855	1738	1756	2241	1779
AT1G80440.1	330	251	262	237	322	334
AT1G10800.1	18	14	14	11	15	11
AT1G65900.1	194	269	226	230	274	418
AT1G42365.1	0	0	0	0	0	0
AT1G79200.1	223	281	229	398	397	317
AT1G43930.1	0	0	0	0	0	0
AT1G74820.1	0	0	0	0	0	0
AT1G36763.1	0	0	0	0	0	0
AT1G70940.1	3163	3681	3416	3602	4947	3765
AT1G23200.1	61	46	67	145	143	159
AT1G15940.1	882	944	639	1054	1279	982
AT1G42375.1	0	0	0	0	0	0
AT1G36770.1	0	0	0	0	0	0
AT1G50960.1	0	0	0	0	0	0
AT1G79590.1	467	513	620	543	624	550
AT1G70910.1	1	3	2	1	2	0
AT1G10810.1	14	10	17	10	15	10
AT1G70920.1	6	10	23	29	37	21
AT1G42370.1	0	0	0	0	0	0
AT1G51290.1	0	0	0	0	0	0
AT1G75010.1	639	630	615	759	906	871
AT1G43940.1	0	0	0	0	0	0
AT1G21060.1	351	397	381	253	326	228
AT1G31830.1	308	331	318	323	392	433
AT1G15950.1	6893.17	7145.78	8864.79	4916.41	6006.68	4319.38
AT1G70870.1	0	0	0	14	9	18
AT1G10790.1	9	14	16	16	21	15
AT1G43970.1	0	0	0	0	0	0
AT1G65920.1	155	198	199	258	304	311
AT1G75060.1	40	59	51	73	90	89
AT1G22850.1	6150	7394	7260	5526	5617	5389
AT1G65640.1	0	0	0	0	0	0
AT1G51310.1	604	642	683	594	579	608
AT1G36936.1	0	0	0	0	0	0
AT1G70880.1	1	0	5	1	7	3
AT1G31840.1	14	11	21	29	35	33
AT1G65630.1	1	3	5	4	3	5
AT1G54450.1	121	131	120	118	164	117
AT1G21065.1	3557	4280	4033	3687	3889	3596
AT1G74800.1	328	428	393	489	572	547
AT1G65650.1	853	988	1093	1073	1147	1101
AT1G31835.1	176	176	224	104	102	82
AT1G42360.1	0	0	0	0	0	0
AT1G74810.1	238	245	217	236	324	192
AT1G43950.1	0	0	0	0	0	0
AT1G75030.1	127	308	143	71	71	79
AT1G73500.1	142	122	149	186	254	92
AT1G55610.1	106	82	87	120	161	92
AT1G65890.1	129.892	119	260	58	180	33
AT1G65660.1	1039	1100	1133	1288	1400	1239
AT1G70890.1	1223	998	1686	1086	1209	1400
AT1G51300.1	0	1	0	0	4	0
AT1G75040.1	992	783	1424	896	684	1135
AT1G65910.1	50	70	60	44	89	65
AT1G43960.1	0	0	1	0	0	0
AT1G70885.1	6	6	1	0	0	0
AT1G75050.1	8	19	10	2	1	8
AT1G73480.1	960	821	1739	1353	1831	1368
AT1G80450.1	61	73	54	131	146	157
AT1G70950.1	17	12	8	18	10	12
AT1G15900.1	3	10	3	42	38	40
AT1G43890.1	1166	1282	1598	1670	1902	1592
AT1G09510.1	1	2	14	0	1	0
AT1G09665.1	0	0	0	0	0	0
AT1G77460.1	562	553	478	677	944	950
AT1G15910.1	605.866	684.121	628.126	1305.15	1524.91	1293.55
AT1G09500.1	491	187	840	181	196	134
AT1G74970.1	6803	7685	8416	5753	6187	6761
AT1G42380.1	0	0	0	0	0	0
AT1G73810.1	28	3	49	43	41	41
AT1G09520.1	316	359	383	436	521	448
AT1G51200.1	5161	5210	6412	5651	6953	5073
AT1G74990.1	0	0	0	0	0	0
AT1G43895.1	0	0	0	0	0	0
AT1G80460.1	1353	1416	1739	1701	1937	2018
AT1G09490.1	1085	939	1102	687	828	770
AT1G09530.1	193	239	295	651	788	632
AT1G20980.1	1821	1701	1792	1983	2555.79	2182
AT1G65680.1	0	0	2	0	1	0
AT1G65690.1	73	28	113	119	112	75
AT1G09660.1	868	1104	1060	970	1141	1040
AT1G73820.1	131	136	127	223	240	284
AT1G74960.2	4826	5235	5460	5524	6042	6028
AT1G51000.1	0	0	0	0	0	0
AT1G73570.1	200	230	195	395	481	457
AT1G42390.1	0	0	0	0	0	0
AT1G50990.1	0	0	0	0	0	0
AT1G73540.1	489	449	489	582	643	201
AT1G73550.1	14	20	19	7	7	6
AT1G10850.1	739	848	835	734	822	866
AT1G77450.1	119	124	250	156	208	129
AT1G42385.1	0	0	0	0	0	0
AT1G77440.1	889	949	1138	1109	1161	1126
AT1G73560.1	0	0	0	0	0	0
AT1G09680.1	38	38	34	24	29	19
AT1G22860.1	385	379	409	484	606	420
AT1G51210.1	0	0	0	0	0	0
AT1G36795.1	0	0	0	0	0	0
AT1G65875.1	0	0	0	0	0	0
AT1G43910.1	320	276	453	418	583	308
AT1G65870.1	689	736	808	577	583	404
AT1G09470.1	121	153	142	231	277	237
AT1G15930.2	5838	7124	7435	6259	7073	7226
AT1G65880.1	14.1084	14	15	14	34	9
AT1G51250.1	0	0	0	0	0	0
AT1G50970.1	240	227	193	172	216	159
AT1G36790.1	0	0	0	0	0	0
AT1G74830.1	0	1	0	1	0	1
AT1G73805.1	486	114	197	296	331	242
AT1G51260.1	0	0	0	0	0	0
AT1G09460.1	27	30	24	47	59	37
AT1G43920.1	0	0	0	0	0	0
AT1G31817.1	619	758	774	746	682	691
AT1G51240.1	0	0	0	0	0	0
AT1G65860.1	1845	1651	2096	2248	3041	1764
AT1G54460.1	697	667	592	731	849	782
AT1G51220.1	0	0	1	0	1	0
AT1G09483.1	0	1	1	0	0	0
AT1G15920.2	429	467	553	462	495	413
AT1G75000.1	260	247	252	259	245	219
AT1G43897.1	0	0	0	0	0	0
AT1G09486.1	18	12.1365	15	3.0401	7.20453	3.16246
AT1G09690.1	9157.61	11700.6	11721.4	9717.44	10836	10846.6
AT1G36775.1	0	0	0	0	0	0
AT1G51230.1	0	0	0	0	0	0
AT1G09700.1	399	527	498	541	575	507
AT1G42377.1	0	0	0	0	0	0
AT1G10830.1	842	881	1062	691	707	832
AT1G43900.1	830	967	1004	1034	1150	1105
AT1G49710.1	555	577	636	731	890	673
AT1G50980.1	0	0	0	0	0	0
AT1G09480.1	50	34	63	80	72	77
AT1G49630.1	1141	1054	972	206	286	294
AT1G42280.1	0	0	0	0	0	0
AT1G14550.1	0	0	0	0	0	0
AT1G21340.1	2	0	0	0	0	0
AT1G07440.1	1976	2430	2641	2308	2471	2205
AT1G47950.1	0	0	0	0	0	2
AT1G14560.1	356	332	365	365	435	371
AT1G07450.1	202	294	230	331	292	460
AT1G69190.1	0	0	0	0	0	0
AT1G07430.1	29	15	71	146	141	123
AT1G16280.1	250	299	300	295	321	351
AT1G49430.1	1433	1279	1399	1906	2250	2393
AT1G07460.1	0	0	0	0	0	1
AT1G47930.1	2	6	0	0	0	0
AT1G47920.1	2	0	3	1	1	1
AT1G14570.2	1031	1087	1257	1463	1764	1608
AT1G14540.1	10	0	6	5	4	2
AT1G07470.1	468.544	547.755	596.042	751.642	851.552	816.01
AT1G47940.1	1	0	0	0	0	0
AT1G23120.1	30	19	49	34	65	36
AT1G13200.1	1	0	0	0	4	0
AT1G23130.1	12668	14656	14012	4991	6438	4780
AT1G69180.1	29	49	34	3	1	1
AT1G16270.1	1014	1048	897	1114.49	1408	1266.47
AT1G13195.1	183	157	197	198	277	214
AT1G42060.1	0	0	0	0	0	0
AT1G69110.1	0	0	0	0	0	0
AT1G69120.1	107	119	115	20	22	40
AT1G55680.1	2392.56	2394.59	2924.27	3013.78	3507.53	2775.42
AT1G13190.1	1236	1216	1428	1371	1764	1450
AT1G70530.1	440	260	330	492	599	571
AT1G21323.1	0	0	0	0	0	0
AT1G73240.1	332	410	400	390	432	405
AT1G73230.1	3677	4925	4668	3645	3935	3949
AT1G17580.1	1074	1018	890	1198	1558	1495
AT1G16250.1	226	201	236	227	333	261
AT1G69160.1	861	765	746	305	480	396
AT1G69170.1	207	242	219	311	393	309
AT1G21330.1	0	0	0	0	0	0
AT1G70520.1	729	582	771	1007	1259	896
AT1G16260.1	1179	840	842	742	854	406
AT1G21326.1	3	0	4	4	6	2
AT1G69150.1	0	1	0	0	0	0
AT1G14580.1	437	523	476	298	337	444
AT1G69140.1	3	1	1	1	0	0
AT1G70540.1	0	0	0	0	2	0
AT1G13210.1	436	290	322	700	815	869
AT1G73220.1	15	15	0	15	29	3
AT1G07500.1	116	49	118	92	104	17
AT1G76070.1	124	107	193	149	155	97
AT1G07490.1	96.6035	120.303	119.967	93.8418	67.4585	79.3885
AT1G70505.1	220	237	221	258	293	225
AT1G13245.1	912	869	985	548	704	544
AT1G21380.1	816	916	1110	1318	1461	1213
AT1G76080.1	14628	16353	18103	12996	14565	12263
AT1G21370.1	264	271	301	327	404	300
AT1G13250.1	376	433	516	576	712	648
AT1G13260.1	267	176	230	488	678	448
AT1G21395.1	0	0	0	1	1	1
AT1G73177.1	281	299	305	366	395	411
AT1G73175.1	0	0	0	0	0	0
AT1G70510.1	42	55	34	42	84	65
AT1G55860.1	3653	2532	1910.36	4276.39	5934.75	5197.19
AT1G73180.1	649	847	758	920	1055	978
AT1G21390.1	78	61	97	105	116	104
AT1G70500.1	27	34	29	21	34	28
AT1G76060.1	287	283	348	310	300	330.566
AT1G73190.1	2	4	6	3	7	5
AT1G42040.1	0	0	0	0	0	0
AT1G76090.1	817	1174	1133	733	982	1009
AT1G47910.1	0	0	0	0	0	0
AT1G73210.1	98	105	140	125	134	109
AT1G49800.1	0	2	0	0	0	1
AT1G47900.1	876	926	819	1193	1514	1362
AT1G47915.1	0	0	0	2	1	0
AT1G14530.1	175	174	156	224	240	177
AT1G42050.1	0	0	0	0	0	0
AT1G07473.1	3	5	2	1	3	0
AT1G16290.1	1	2	3	1	1	6
AT1G47890.1	10	2	7	8	6	8
AT1G13230.1	9	9	7	18	8	13
AT1G76110.1	1331	1544	1265	2000	2282	2317
AT1G76100.1	6457	8662	8005	6676	7753	7764
AT1G73200.1	745	684	795	659	860	674
AT1G07476.1	0	0	0	0	0	0
AT1G17430.1	152	160	160	142	218	150
AT1G07480.1	548.456	647.245	705.958	475.358	554.448	570.99
AT1G21360.1	0	0	0	0	1	0
AT1G17560.1	132	167	147	262	332	250
AT1G76120.1	242	255	283	254	264	249
AT1G72010.1	1165	1056	1268	1201	1390	1129
AT1G49440.1	0	0	0	0	0	0
AT1G71990.1	91	104	136	367	403	339
AT1G07350.1	2329	2269	2864	2849	3615	1755
AT1G62760.1	18	34	24	4	7	1
AT1G76200.1	3362	4167	4523	3960	4481	4086
AT1G07340.1	2	1	4	0	0	0
AT1G76190.1	18	17	21	29	17	29
AT1G17240.1	27	18	17	25	6	12
AT1G47960.1	261	277	304	259	368	231
AT1G76185.1	82	87	116	102	142	128
AT1G17230.1	450	443	434	472	605	463
AT1G77700.1	52	57	54	32	46	33
AT1G13120.1	496	520	469	663	759	662
AT1G49780.1	584	634	745	517	593	367
AT1G70580.1	6130	6741	7479	6122	6508	5407
